Date_Order_was_placed;Order_Sum;Quantity_Ordered_Sum;profit_Per_day;Total_Retail_Price_for_This_Order_Sum
20-Dec-20;1;2;28.480011;511.98
23-Dec-20;1;2;7.2;13.2
26-Dec-20;4;7;191.9;483.2
29-Dec-20;1;2;150.7;269.4
30-Dec-20;1;6;225.90002;451.2
02-Jan-21;1;1;80.8;161.8
10-Jan-21;2;3;352.0;609.0
11-Jan-21;1;1;27.949999;56.1
15-Jan-21;1;1;31.8;56.6
19-Jan-21;2;4;144.09999;245.8
20-Jan-21;1;1;21.300001;38.4
21-Jan-21;1;1;17.5;30.6
22-Jan-21;1;1;24.449999;49.1
23-Jan-21;2;2;68.5;136.1
25-Jan-21;1;4;72.2;145.2
29-Jan-21;1;1;86.3;148.1
30-Jan-21;1;1;31.7;58.2
31-Jan-21;1;2;56.800003;99.8
01-Feb-21;1;1;73.40001;140.1
08-Feb-21;1;1;10.05;18.5
14-Feb-21;1;2;105.6;176.2
21-Feb-21;2;2;36.45;72.5
25-Feb-21;1;1;46.45;77.5
02-Mar-21;1;1;20.5;36.2
04-Mar-21;1;1;45.800003;91.8
05-Mar-21;1;1;23.199999;46.6
07-Mar-21;1;1;11.549999;19.9
09-Mar-21;1;1;50.000004;83.3
14-Mar-21;1;1;37.949997;66.7
15-Mar-21;1;1;17.15;24.4
16-Mar-21;1;1;21.749998;37.6
20-Mar-21;1;2;6.5999994;12.4
21-Mar-21;1;1;22.899998;43.6
22-Mar-21;1;1;39.649998;71.6
23-Mar-21;1;1;22.350002;39.4
28-Mar-21;1;1;7.3;13.3
30-Mar-21;1;1;52.700005;109.3
01-Apr-21;1;1;20.3;40.8
05-Apr-21;2;3;16.05;32.1
08-Apr-21;1;1;22.699999;37.6
11-Apr-21;1;1;20.949999;34.8
12-Apr-21;1;1;28.2;51.9
13-Apr-21;1;1;19.850002;39.9
14-Apr-21;1;1;14.65;24.5
15-Apr-21;3;3;91.399994;172.9
18-Apr-21;1;1;22.449999;45.1
19-Apr-21;1;1;24.949999;49.8
23-Apr-21;1;1;4.0;7.3
26-Apr-21;1;2;108.0;211.0
01-May-21;3;5;300.9;538.9
02-May-21;1;3;26.849998;50.1
06-May-21;1;1;15.450001;31.1
07-May-21;1;1;11.750001;23.7
09-May-21;1;1;471.95;590.4
13-May-21;1;2;3.0;5.4
15-May-21;1;1;26.35;47.7
16-May-21;1;1;19.3;36.1
17-May-21;1;1;18.55;31.8
18-May-21;1;1;39.35;78.6
20-May-21;1;1;29.05;56.3
21-May-21;1;1;12.45;22.9
23-May-21;1;1;48.499996;85.7
24-May-21;3;5;237.15001;419.8
25-May-21;2;3;80.799995;159.9
26-May-21;1;1;108.1;119.1
27-May-21;2;2;111.60001;207.3
29-May-21;2;7;57.199997;107.7
30-May-21;1;3;117.90001;199.8
01-Jun-21;1;1;5.6500006;10.1
02-Jun-21;1;2;33.200005;66.8
03-Jun-21;1;4;37.4;70.0
04-Jun-21;3;7;245.35;473.9
05-Jun-21;1;2;8.599999;17.4
07-Jun-21;4;9;425.55002;796.3
08-Jun-21;1;2;66.5;111.6
09-Jun-21;1;6;132.0;237.0
11-Jun-21;1;2;31.4;56.8
12-Jun-21;2;3;51.749996;95.7
14-Jun-21;2;5;83.0;156.2
17-Jun-21;1;3;695.5499;1406.7
18-Jun-21;1;3;39.299995;72.6
21-Jun-21;1;2;33.8;68.0
22-Jun-21;2;4;209.9;243.4
27-Jun-21;6;14;499.3;1001.2
29-Jun-21;1;2;14.4;25.0
01-Jul-21;1;3;68.399994;136.5
02-Jul-21;1;2;98.9;165.0
03-Jul-21;1;2;12.900001;25.6
04-Jul-21;3;4;104.549995;190.5
06-Jul-21;2;6;377.90002;698.8
08-Jul-21;1;5;150.0;271.0
09-Jul-21;1;2;111.2;185.2
10-Jul-21;2;3;73.05;125.4
11-Jul-21;2;5;102.200005;353.1
12-Jul-21;1;1;20.050001;35.9
13-Jul-21;3;8;261.7;525.0
14-Jul-21;1;4;347.80002;696.4
15-Jul-21;4;10;260.0;507.8
16-Jul-21;1;2;19.7;36.4
19-Jul-21;5;9;278.65;500.5
20-Jul-21;7;18;1432.25;2135.9
21-Jul-21;2;4;61.499996;116.0
22-Jul-21;4;7;126.58;253.78
24-Jul-21;1;2;49.4;103.8
25-Jul-21;3;6;150.59999;292.3
26-Jul-21;2;4;376.1;515.2
27-Jul-21;3;6;257.82;513.78
28-Jul-21;1;2;23.880005;81.98
30-Jul-21;2;3;33.83;85.38
31-Jul-21;1;2;4.8799996;11.98
01-Aug-21;3;6;94.0;188.6
02-Aug-21;7;14;281.05;494.8
03-Aug-21;4;8;139.05;247.3
05-Aug-21;7;19;454.5;816.9
06-Aug-21;1;2;187.69998;375.8
07-Aug-21;3;7;151.57999;277.28
08-Aug-21;3;9;526.75;970.8
09-Aug-21;4;8;218.85;403.5
10-Aug-21;7;15;1513.7802;3544.08
11-Aug-21;2;4;119.6;226.6
12-Aug-21;4;9;626.2;1304.2
13-Aug-21;2;6;154.8;310.8
14-Aug-21;5;10;325.55;635.4
15-Aug-21;3;5;181.8;345.3
16-Aug-21;3;6;65.15;110.7
17-Aug-21;3;6;138.9;259.3
18-Aug-21;5;12;327.1;723.9
19-Aug-21;4;9;169.93;372.48
20-Aug-21;4;8;274.8;503.5
21-Aug-21;2;3;431.05;751.8
22-Aug-21;2;5;180.85;310.9
23-Aug-21;2;3;99.649994;193.6
24-Aug-21;2;3;222.0;404.5
25-Aug-21;2;5;134.22;277.97
26-Aug-21;5;11;224.99998;380.6
27-Aug-21;4;6;212.69998;415.4
28-Aug-21;1;2;128.6;242.6
29-Aug-21;2;6;207.3;399.3
30-Aug-21;8;18;553.5;1050.0
31-Aug-21;8;18;530.65;960.5
01-Sep-21;3;3;105.25;160.6
02-Sep-21;1;1;36.0;64.9
03-Sep-21;2;2;38.2;71.0
05-Sep-21;3;3;96.25;180.4
06-Sep-21;3;3;75.549995;129.1
07-Sep-21;6;7;419.35;734.5
08-Sep-21;5;5;140.15;251.0
10-Sep-21;3;3;57.0;107.8
11-Sep-21;5;6;179.15;320.5
12-Sep-21;4;5;161.15;300.3
13-Sep-21;4;5;132.5;257.0
14-Sep-21;7;11;233.55;449.1
15-Sep-21;3;3;30.349998;56.0
16-Sep-21;3;4;244.05;439.3
17-Sep-21;2;3;62.850002;111.1
18-Sep-21;4;6;706.05;1279.5
19-Sep-21;3;3;59.449997;108.9
20-Sep-21;2;3;192.3;359.8
21-Sep-21;9;12;342.25;642.6
23-Sep-21;4;6;165.25;314.3
24-Sep-21;7;9;208.8;386.6
25-Sep-21;4;4;206.05;371.9
26-Sep-21;4;4;120.600006;221.4
27-Sep-21;9;9;317.6;614.3
28-Sep-21;5;7;164.65001;314.5
29-Sep-21;2;3;54.9;109.7
30-Sep-21;3;3;58.649998;109.7
01-Oct-21;3;3;69.8;131.8
02-Oct-21;1;1;28.4;52.3
03-Oct-21;4;5;185.15001;330.2
04-Oct-21;6;6;101.85;190.1
05-Oct-21;8;9;641.6;1015.6
06-Oct-21;1;1;2.0;3.2
07-Oct-21;6;6;142.9;277.7
08-Oct-21;9;10;366.15;661.6
09-Oct-21;9;9;322.0;610.2
10-Oct-21;4;4;91.65;165.0
11-Oct-21;3;3;155.25;287.9
12-Oct-21;8;8;350.0;662.3
13-Oct-21;5;6;302.25;580.0
14-Oct-21;3;4;72.8;130.3
15-Oct-21;3;3;103.05;197.4
16-Oct-21;9;9;309.25;600.4
17-Oct-21;11;13;526.3;1019.6
18-Oct-21;7;7;197.2;374.2
19-Oct-21;10;11;186.5;338.0
20-Oct-21;1;2;60.7;111.4
21-Oct-21;11;12;661.85004;1193.1
22-Oct-21;8;8;180.15;334.6
23-Oct-21;9;9;281.5;524.7
24-Oct-21;8;9;326.9;580.1
25-Oct-21;6;6;136.15;250.3
26-Oct-21;6;9;184.55;352.4
27-Oct-21;3;4;56.999996;100.3
28-Oct-21;5;7;437.5;825.8
29-Oct-21;6;6;199.9;362.9
30-Oct-21;13;14;708.25;1293.1
31-Oct-21;6;7;266.4;510.1
01-Nov-21;14;16;421.25003;815.6
02-Nov-21;15;15;697.85;1348.9
03-Nov-21;4;5;71.4;125.7
04-Nov-21;10;13;518.1;919.3
05-Nov-21;19;21;683.89996;1249.0
06-Nov-21;14;17;636.45;1067.4
07-Nov-21;9;12;366.65;681.0
08-Nov-21;12;20;494.5;912.9
09-Nov-21;17;24;858.05005;1597.0
10-Nov-21;7;10;163.65001;304.1
11-Nov-21;8;11;375.2;668.2
12-Nov-21;15;19;925.2;1766.0
13-Nov-21;17;22;690.45;1246.3
14-Nov-21;17;21;694.0;1314.4
15-Nov-21;15;22;553.95;1026.0
16-Nov-21;20;23;1027.15;1958.4
17-Nov-21;10;11;432.05;816.3
18-Nov-21;18;24;1089.3;1938.3
19-Nov-21;14;20;594.15;1067.0
20-Nov-21;19;25;949.325;1757.525
21-Nov-21;18;24;863.3;1562.9
22-Nov-21;19;23;892.0;1630.9
23-Nov-21;18;24;956.9;1830.0
24-Nov-21;13;15;539.25006;1069.8
25-Nov-21;17;21;707.45;1320.4
26-Nov-21;20;25;1211.5;2280.1
27-Nov-21;29;48;1308.05;2404.9
28-Nov-21;16;23;609.60004;1177.5
29-Nov-21;32;41;1177.5;2150.4
30-Nov-21;34;40;989.35004;1839.7
01-Dec-21;18;50;2199.74;4134.74
02-Dec-21;31;78;2953.11;5659.36
03-Dec-21;35;90;3099.35;5826.6
04-Dec-21;28;70;2948.9202;5450.72
05-Dec-21;35;85;2553.91;4897.66
06-Dec-21;39;95;5327.85;9817.1
07-Dec-21;46;95;3289.56;6274.71
08-Dec-21;22;49;3118.03;5556.58
09-Dec-21;44;101;5170.41;9368.36
10-Dec-21;52;136;3442.13;6739.23
11-Dec-21;52;127;5041.26;9418.56
12-Dec-21;54;120;4403.69;8289.14
13-Dec-21;52;124;6616.02;12406.12
14-Dec-21;52;129;3661.66;7198.66
15-Dec-21;28;74;3417.8;6082.7
16-Dec-21;58;145;5944.41;10931.36
17-Dec-21;64;160;6740.78;11951.88
18-Dec-21;50;119;5034.8;9295.35
19-Dec-21;76;190;7904.4;14747.4
20-Dec-21;78;196;8942.24;16767.54
21-Dec-21;92;211;10068.275;18652.275
22-Dec-21;56;147;6030.8003;11294.15
23-Dec-21;86;218;9077.89;16913.74
24-Dec-21;103;258;10146.76;18475.36
25-Dec-21;15;31;1074.04;2215.64
26-Dec-21;105;243;9583.9;17978.4
27-Dec-21;114;281;14058.22;26821.67
28-Dec-21;140;321;13187.186;25306.645
29-Dec-21;74;178;5706.31;10478.36
30-Dec-21;147;371;17235.041;32200.79
31-Dec-21;88;215;9991.645;18636.365
